Time (s), X Position (pixels), Y Position (pixels)
16.1666666667,299.579964851,130.886057411
16.2,294.204260286,131.422818792
16.2333333333,288.027314549,131.975848189
16.2666666667,281.990582192,132.490296804
16.3,276.084902927,132.680092727
16.3333333333,270.691820276,133.204781106
16.3666666667,265.030529954,133.345910138
16.4,259.574031232,133.181318681
16.4333333333,254.214880781,133.306808388
16.4666666667,248.748569794,133.480263158
16.5,243.732558140,133.662507090
16.5333333333,238.872004511,133.620242458
16.5666666667,234.315626757,133.487352445
16.6,230.026426764,133.325274107
16.6333333333,226.214981899,133.223057644
16.6666666667,222.872246696,133.018997797
16.7,219.801084011,132.969647696
16.7333333333,216.685230024,133.001614205
16.7666666667,214.175588865,132.889721627
16.8,211.967586392,132.878917761
16.8333333333,209.935026738,133.036898396
16.8666666667,208.379014989,133.019004283
16.9,207.326574173,133.223852721
16.9333333333,206.663726276,133.342956429
16.9666666667,206.474304069,133.493843683
17.0,206.638896330,133.534422716
17.0333333333,207.394638070,133.645844504
17.0666666667,208.359270191,133.756640730
17.1,209.870245482,133.930401942
17.1333333333,212.033162578,134.000808843
17.1666666667,214.437095032,134.179805616
17.2,217.088251218,134.237412019
17.2333333333,219.970731707,134.217615176
17.2666666667,223.109276080,134.192678227
17.3,226.482930891,134.376075493
17.3333333333,230.311173184,134.300000000
17.3666666667,234.390559146,134.139926946
17.4,238.720022624,134.069852941
